日付,曜日,特定日,1076番台,,,,,1077番台,,,,,1078番台,,,,,1080番台,,,,,1081番台,,,,,1082番台,,,,,1083番台,,,,,1085番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-04-25,土,いいえ,-685,"1,532",5,3,1/192,"-2,536","2,805",4,6,1/281,+663,"3,194",14,10,1/133,-472,"2,512",10,5,1/167,"+4,275","8,106",48,19,1/121,"-5,099","4,894",6,10,1/306,"-1,332","1,403",2,2,1/351,"-1,163","3,204",10,8,1/178
2026-04-24,金,いいえ,"-1,534","5,707",18,18,1/159,+307,"1,043",5,3,1/130,+877,"1,728",11,3,1/123,"+1,767","1,623",11,9,1/81,"-1,181","1,870",4,5,1/208,-613,"3,495",13,7,1/175,-645,"1,555",4,5,1/173,"-2,257","6,040",21,9,1/201
2026-04-23,木,はい,"+3,356","1,691",17,7,1/70,-727,"2,545",9,4,1/196,+707,"2,429",12,8,1/121,"+1,528","1,240",8,8,1/78,-957,"4,763",15,13,1/170,+568,771,4,4,1/96,+236,"1,659",6,8,1/119,"-1,519","3,973",12,10,1/181
2026-04-22,水,いいえ,"-1,393","5,283",15,18,1/160,+784,"2,266",11,9,1/113,+595,546,4,2,1/91,"-1,852","4,906",16,12,1/175,-581,"2,830",11,3,1/202,"+1,415","3,768",18,16,1/111,-160,97,0,0,-,"-3,026","3,673",8,5,1/283
2026-04-21,火,いいえ,-175,"4,656",20,12,1/146,-831,576,0,1,1/576,"-1,763","1,958",2,5,1/280,"-2,958","4,077",9,8,1/240,-925,621,0,1,1/621,-484,"6,788",25,20,1/151,"+1,173","2,538",16,5,1/121,+854,"2,776",14,8,1/126
2026-04-19,日,いいえ,-311,"5,678",22,15,1/153,-167,"7,155",29,17,1/156,"+2,243","1,383",13,4,1/81,"-1,085","2,116",5,6,1/192,-677,"4,256",17,8,1/170,"-1,564","1,010",0,1,1/1010,"-1,298","3,266",11,5,1/204,+43,"1,813",7,7,1/130
2026-04-18,土,いいえ,"-5,590","6,378",11,9,1/319,"-1,496","8,129",28,23,1/159,"+4,008","1,620",19,7,1/62,"+1,511","5,595",29,14,1/130,"-1,247","4,348",16,7,1/189,+467,"3,158",14,7,1/150,"-1,528","3,205",10,5,1/214,"+4,377","6,808",43,18,1/112
2026-04-17,金,いいえ,"+1,965","5,229",27,17,1/119,-478,439,1,0,1/439,-367,"4,938",18,14,1/154,-876,"1,962",5,6,1/178,"-2,790","1,965",0,2,1/983,-677,607,1,1,1/304,"+2,331","1,642",12,10,1/75,"-2,446","4,384",12,8,1/219
2026-04-16,木,はい,"-3,200","3,499",5,7,1/292,-220,"2,479",9,7,1/155,"+2,884","8,919",41,36,1/116,-889,722,1,1,1/361,-91,702,4,2,1/117,-986,"1,984",5,6,1/180,+703,"1,581",9,4,1/122,+546,847,5,4,1/94
2026-04-15,水,いいえ,+216,"1,793",7,7,1/128,"-1,998","2,761",7,2,1/307,-173,"2,014",9,4,1/155,-572,"1,321",4,3,1/189,"-1,881","7,097",24,16,1/177,-382,"2,733",10,7,1/161,"+3,414","3,191",23,13,1/89,+25,518,2,2,1/130
2026-04-14,火,いいえ,"+1,329","3,563",19,10,1/123,"+1,402","1,206",8,7,1/80,-197,879,5,2,1/126,"-2,160","2,134",4,1,1/427,+432,"3,770",16,12,1/135,-423,795,3,1,1/199,+957,"2,029",12,4,1/127,+455,564,3,3,1/94
2026-04-13,月,はい,"+1,836","2,795",17,8,1/112,-339,223,0,0,-,-211,"7,432",30,20,1/149,"-1,348","3,117",9,10,1/164,"-4,547","6,470",14,11,1/259,"-1,781","2,239",4,5,1/249,"-1,949","4,284",13,5,1/238,"+2,149","6,853",36,15,1/134
2026-04-12,日,いいえ,"-6,297","7,315",12,11,1/318,+516,"4,503",20,14,1/132,"-2,844","6,265",21,8,1/216,"-1,425","1,513",2,3,1/303,"-3,625","6,564",17,12,1/226,+676,"1,565",9,4,1/120,"-3,055","3,311",7,3,1/331,"-2,534","5,789",18,12,1/193
2026-04-11,土,いいえ,"-1,949","7,085",22,20,1/169,"+1,042","1,078",8,3,1/98,-666,"1,404",4,2,1/234,"+4,520","6,249",42,16,1/108,"-2,225","2,748",6,3,1/305,"+3,095","1,929",16,10,1/74,+574,"3,730",17,10,1/138,-469,"6,195",22,21,1/144
2026-04-10,金,いいえ,"+1,876","1,388",11,7,1/77,"-3,866","6,809",18,11,1/235,-727,530,0,1,1/530,"-2,324","4,170",10,9,1/219,+959,955,7,3,1/96,-650,"1,324",2,6,1/166,"-1,213","1,817",4,4,1/227,+379,"1,984",8,8,1/124
2026-04-09,木,いいえ,"-3,414","5,175",13,6,1/272,+834,"5,305",25,16,1/129,"+1,914","1,872",14,5,1/99,"-1,785","6,091",21,12,1/185,"+1,177","4,962",24,14,1/131,"+1,561","6,731",31,23,1/125,+60,966,4,3,1/138,"-2,229","8,650",31,21,1/166
2026-04-07,火,いいえ,-607,"2,436",9,5,1/174,"-1,657","1,135",0,1,1/1135,-408,263,0,0,-,"+11,243","4,331",52,20,1/60,"-1,124","3,385",11,7,1/188,-422,250,0,0,-,-298,182,0,0,-,"+2,739","2,164",16,9,1/87
2026-04-06,月,はい,+928,"7,160",33,18,1/140,-785,621,1,0,1/621,-312,"8,268",35,18,1/156,"+1,382","2,023",13,5,1/112,"-1,280","5,169",17,12,1/178,+37,"2,489",10,8,1/138,"+1,625",925,8,5,1/71,+531,"4,046",17,15,1/126
