日付,曜日,特定日,1066番台,,,,,1067番台,,,,,1068番台,,,,,1070番台,,,,,1071番台,,,,,1072番台,,,,,1073番台,,,,,1075番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-04-29,水,いいえ,"-5,796","8,124",18,13,1/262,"-2,109","3,392",8,7,1/226,-27,"2,144",9,4,1/165,"+1,598","5,375",27,16,1/125,"-6,066","9,856",26,16,1/235,-513,"3,026",11,7,1/168,-280,"5,527",24,12,1/154,"-3,211","9,596",31,23,1/178
2026-04-28,火,いいえ,+321,"2,283",11,5,1/143,+268,"1,574",6,8,1/112,"+1,505","1,784",13,3,1/112,-470,728,2,3,1/146,-179,"3,564",13,14,1/132,"-1,051","4,302",13,14,1/159,-675,684,2,0,1/342,"+1,238","1,927",11,8,1/101
2026-04-27,月,いいえ,"-2,227","3,457",10,2,1/288,+283,"1,151",5,4,1/128,"-3,258","7,550",22,19,1/184,"+1,208","2,193",13,7,1/110,-714,"2,426",8,5,1/187,"-2,086","2,433",4,5,1/270,"+1,100",781,6,4,1/78,"-2,304","8,550",26,24,1/171
2026-04-26,日,はい,+644,"3,027",15,8,1/132,-439,"5,151",21,13,1/152,"-4,657","4,564",5,8,1/351,"-1,654","5,531",19,11,1/184,"-2,398","8,370",27,22,1/171,-256,"4,891",21,9,1/163,"+1,865","8,589",38,29,1/128,"-6,163","9,039",21,14,1/258
2026-04-25,土,いいえ,"-1,197","2,311",5,8,1/178,"-1,905","5,924",20,12,1/185,"+1,469","2,547",14,8,1/116,"+5,650","3,038",28,16,1/69,"-7,087","8,939",17,17,1/263,"-1,603","2,962",9,2,1/269,-48,"2,496",9,8,1/147,"-2,787","6,124",16,16,1/191
2026-04-24,金,いいえ,-203,"3,491",16,7,1/152,-20,581,4,1,1/116,+334,"1,738",9,2,1/158,"+1,667","2,864",17,9,1/110,"-1,790","5,288",16,11,1/196,-672,"1,257",3,3,1/210,"-1,265","4,889",17,12,1/169,-373,252,0,0,-
2026-04-23,木,はい,-383,"1,641",5,6,1/149,+180,"5,873",28,8,1/163,-332,724,2,5,1/103,"+1,258","3,657",16,15,1/118,"+3,186","1,736",17,6,1/75,+409,"1,462",9,1,1/146,-237,"6,453",27,14,1/157,"+2,314","2,563",18,9,1/95
2026-04-22,水,いいえ,"-2,439","2,659",5,3,1/332,"-1,036","3,528",11,7,1/196,+372,"1,999",7,11,1/111,-322,202,0,0,-,+545,"6,876",30,19,1/140,+292,"4,895",22,12,1/144,"-2,064","3,851",10,7,1/227,-507,"1,907",5,8,1/147
2026-04-21,火,いいえ,"+1,527","3,313",19,7,1/127,+328,"1,577",9,1,1/158,+178,"2,774",12,8,1/139,-223,"1,731",6,6,1/144,+936,"3,460",17,9,1/133,+231,"3,736",18,8,1/144,-440,"2,611",8,10,1/145,-52,507,2,3,1/101
2026-04-19,日,いいえ,+345,"1,876",10,3,1/144,"+2,174","9,398",50,16,1/142,-505,"1,693",5,5,1/169,"-1,991","5,586",19,9,1/200,"+1,294","1,546",11,4,1/103,"+1,153","3,813",19,12,1/123,+995,"4,878",21,19,1/122,"+4,205","3,483",25,16,1/85
2026-04-18,土,いいえ,"+1,530","6,865",32,23,1/125,-414,"1,512",5,3,1/189,"-5,170","6,937",14,12,1/267,+855,"6,701",27,23,1/134,"-3,348","7,943",21,23,1/181,"-4,614","4,807",7,6,1/370,-849,623,0,1,1/623,+995,"3,684",18,10,1/132
2026-04-17,金,いいえ,"+2,950","5,322",30,15,1/118,"-2,918","6,325",17,18,1/181,-225,"2,152",9,4,1/166,-870,"5,142",21,8,1/177,-472,"3,706",14,8,1/168,"-3,233","6,002",18,11,1/207,+457,"1,360",7,4,1/124,-366,"2,507",9,8,1/147
2026-04-16,木,はい,"+2,643","5,022",31,10,1/122,"-1,234","2,666",7,7,1/190,-803,"1,639",4,5,1/182,"-2,874","3,986",8,7,1/266,"-2,757","5,135",15,8,1/223,"+1,432","1,042",9,3,1/87,"-1,596","4,575",15,9,1/191,-678,"2,743",10,4,1/196
2026-04-15,水,いいえ,-491,"3,135",13,2,1/209,-74,749,5,0,1/150,"+1,562","1,593",9,9,1/89,"-2,796","3,032",4,6,1/303,-580,"1,537",6,2,1/192,"+1,734","1,864",13,5,1/104,"-4,198","4,157",5,7,1/346,-436,"2,829",11,6,1/166
2026-04-14,火,いいえ,-572,"2,277",8,5,1/175,-575,911,3,3,1/152,"-1,826","1,897",3,2,1/379,+432,"2,836",11,13,1/118,"+1,308",830,8,1,1/92,"-1,375",912,0,1,1/912,+54,"4,886",24,6,1/163,"+2,119","1,778",14,7,1/85
2026-04-13,月,はい,"-2,066","2,678",4,8,1/223,-643,478,0,1,1/478,"+3,329","5,259",33,15,1/110,-484,457,1,0,1/457,-281,"2,219",9,3,1/185,-78,"2,119",9,5,1/151,-356,227,0,0,-,"+3,980","2,427",22,11,1/74
2026-04-12,日,いいえ,-10,749,5,1,1/125,"-2,264","6,211",21,11,1/194,"+3,062","2,220",17,12,1/77,"+2,119","8,662",42,25,1/129,+342,"3,477",13,14,1/129,"-1,761","2,917",8,5,1/224,"+1,890","2,872",16,13,1/99,-148,850,3,7,1/85
2026-04-11,土,いいえ,"+1,232","8,690",39,23,1/140,"+1,065","6,416",28,21,1/131,+570,"1,833",11,1,1/153,+528,"1,079",7,2,1/120,-573,"2,846",10,7,1/167,-367,"4,503",15,16,1/145,"-2,136","3,023",6,6,1/252,+595,"5,696",24,18,1/136
2026-04-10,金,いいえ,+39,"3,202",12,11,1/139,-58,"2,048",8,5,1/158,"+1,627","3,081",19,6,1/123,-386,"1,682",6,4,1/168,+901,"4,981",25,13,1/131,"+2,526","1,516",11,13,1/63,"-1,605","1,859",2,6,1/232,+854,"1,967",10,8,1/109
2026-04-09,木,いいえ,-784,"3,162",10,9,1/166,"+3,505","2,554",21,10,1/82,"-2,642","4,402",10,11,1/210,-506,"1,731",6,4,1/173,"-3,171","5,412",10,19,1/187,"+2,880","3,888",24,11,1/111,"-3,409","4,886",11,9,1/244,-597,"2,510",11,1,1/209
2026-04-07,火,いいえ,-381,"4,835",18,13,1/156,-823,"2,140",6,5,1/195,"-1,406","2,867",9,4,1/221,"-2,055","4,696",13,11,1/196,-539,806,3,2,1/161,-785,"2,841",9,6,1/189,-383,216,0,0,-,"-1,173",767,0,1,1/767
2026-04-06,月,はい,"+2,128","2,205",15,8,1/96,-846,"5,497",21,13,1/162,-63,"5,046",20,16,1/140,"-1,998","6,796",23,16,1/174,"-2,206","2,441",4,4,1/305,-261,666,3,2,1/133,"-3,172","4,953",11,9,1/248,"-1,264","2,225",5,4,1/247
2026-04-05,日,いいえ,-661,914,3,1,1/229,+742,"1,038",8,0,1/130,"-3,085","4,236",10,7,1/249,"+4,523","4,490",32,17,1/92,"+1,233","5,546",22,27,1/113,+641,"4,809",23,10,1/146,-53,"6,254",27,13,1/156,+88,513,1,4,1/103
2026-04-04,土,いいえ,-467,"6,060",20,24,1/138,+587,"2,783",15,4,1/146,+695,"1,504",9,4,1/116,-311,926,4,2,1/154,"+1,414","3,315",15,18,1/100,-275,"1,485",5,5,1/149,"-1,128","1,981",6,3,1/220,"+1,377","1,367",10,4,1/98
