日付,曜日,特定日,1401番台,,,,,,,1402番台,,,,,,,1403番台,,,,,,,1427番台,,,,,,,1428番台,,,,,,,1429番台,,,,,,,1430番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-05-04,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-500,"2,432",6,7,1/187,1/5.51,2.94,-398,"1,618",3,6,1/180,1/5.41,3.32,-696,"3,062",9,7,1/191,1/5.82,2.57,-592,"2,842",10,4,1/203,1/5.97,2.28
2026-05-03,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-593,942,1,3,1/236,1/5.98,3.20,-299,"1,913",7,5,1/159,1/6.45,3.15,+314,"1,188",5,5,1/119,1/5.82,3.79,"+1,203","4,618",24,7,1/149,1/5.74,2.27
2026-05-02,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-697,"1,526",3,3,1/254,1/5.67,2.75,"+3,589","6,691",38,23,1/110,1/5.85,4.74,-503,797,1,3,1/199,1/6.49,3.37,-794,"1,926",4,4,1/241,1/5.64,2.65
2026-05-01,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-100,"4,396",17,10,1/163,1/5.89,2.54,"-2,203","4,570",8,12,1/229,1/5.83,2.21,+310,"6,048",25,14,1/155,1/5.87,2.42,+204,"5,801",25,12,1/157,1/6.02,2.27
2026-04-30,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-698,"3,090",8,9,1/182,1/5.71,2.87,-303,"1,021",2,3,1/204,1/5.41,3.21,+0,"7,330",28,19,1/156,1/5.88,2.46,-393,"2,043",6,7,1/157,1/6.15,3.36
2026-04-29,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-194,"1,472",4,4,1/184,1/5.40,3.12,"+1,209","4,862",23,15,1/128,1/5.96,3.67,"-1,085","2,947",7,9,1/184,1/6.18,2.93,-797,"2,135",6,5,1/194,1/6.38,2.81
2026-04-28,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-703,"2,464",7,7,1/176,1/6.22,3.00,+111,443,2,1,1/148,1/5.42,3.42,-596,561,0,0,-,1/5.45,2.84,"-1,795","1,765",1,3,1/441,1/6.60,2.39
2026-04-27,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-192,243,0,0,-,1/4.60,3.20,-395,407,1,0,1/407,1/8.27,3.11,+315,"4,688",19,14,1/142,1/6.00,3.25,-195,125,0,0,-,1/8.26,3.35
2026-04-26,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,084","1,989",4,5,1/221,1/6.36,2.79,-392,"2,292",7,8,1/153,1/6.22,3.41,"+2,099","6,728",30,25,1/122,1/5.67,4.35,+316,"4,031",16,14,1/134,1/6.07,3.68
2026-04-25,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-196,941,2,4,1/157,1/5.71,3.54,-593,"2,309",7,4,1/210,1/5.81,2.52,-503,"1,424",3,3,1/237,1/5.46,2.86,+108,"4,909",21,12,1/149,1/6.22,2.76
2026-04-24,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+112,"1,630",8,0,1/204,1/5.64,2.43,-195,"2,615",11,6,1/154,1/6.55,2.97,+508,"2,193",11,4,1/146,1/5.80,2.98,-395,"3,001",7,10,1/177,1/5.28,3.09
2026-04-23,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,"1,299",5,3,1/162,1/5.79,3.19,+495,"4,118",18,12,1/137,1/6.07,3.34,+515,"3,200",12,15,1/119,1/5.99,4.34,-296,"1,364",4,3,1/195,1/5.73,3.01
2026-04-22,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+608,"4,764",18,20,1/125,1/5.96,4.27,-103,900,3,2,1/180,1/5.72,3.21,+210,"3,950",17,10,1/146,1/6.14,2.97,+603,"5,036",20,17,1/136,1/5.85,3.62
2026-04-21,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-391,"1,405",3,5,1/176,1/5.74,3.33,+495,"4,949",21,15,1/137,1/6.08,3.38,"-1,190","2,107",3,7,1/211,1/6.15,3.02,-897,"4,445",13,14,1/165,1/6.06,2.98
2026-04-19,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,014","3,552",18,10,1/127,1/6.04,3.53,+802,"2,935",15,6,1/140,1/5.81,2.99,-392,508,1,0,1/508,1/6.23,2.99,-590,"1,758",5,3,1/220,1/5.95,2.68
2026-04-18,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+710,"5,295",23,20,1/123,1/6.38,4.22,-594,"1,288",3,3,1/215,1/6.23,3.00,-104,"1,831",7,4,1/166,1/5.96,3.01,-393,"3,927",13,11,1/164,1/5.87,2.87
2026-04-17,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+601,"3,127",14,8,1/142,1/5.72,3.15,-195,244,0,0,-,1/4.62,3.20,-299,"2,827",11,4,1/188,1/5.92,2.35,-896,"2,391",6,6,1/199,1/6.11,2.77
2026-04-16,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+310,"3,024",12,10,1/137,1/5.89,3.53,-191,"1,231",4,2,1/205,1/5.57,2.93,-301,"1,285",4,4,1/161,1/6.42,3.34,"-1,302","1,903",4,4,1/238,1/7.04,2.67
2026-04-15,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-394,919,2,4,1/153,1/6.91,3.56,+0,206,1,0,1/206,1/5.87,3.35,+0,830,3,2,1/166,1/5.60,3.30,+109,"1,662",6,5,1/151,1/5.57,3.34
2026-04-14,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-590,"3,323",9,11,1/166,1/5.79,3.14,-101,"2,786",12,6,1/155,1/6.40,2.88,-198,"3,496",13,11,1/146,1/6.28,3.32,-593,"2,460",8,4,1/205,1/5.93,2.46
