日付,曜日,特定日,667番台,,,,,,668番台,,,,,,670番台,,,,,,671番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-02-26,木,いいえ,"+1,435","5,269",26,12,1/139,3.16,+875,"3,700",18,5,1/161,2.46,+397,"2,037",9,5,1/146,3.33,-293,"6,019",21,21,1/143,3.83
2026-02-25,水,いいえ,-646,"4,986",14,17,1/161,3.38,+13,"1,195",5,2,1/171,3.13,-910,"1,622",3,4,1/232,2.93,-488,"3,279",12,7,1/173,2.75
2026-02-24,火,いいえ,-595,"2,050",6,6,1/171,3.23,-656,"2,621",7,10,1/154,3.63,-640,"1,523",4,4,1/190,3.13,+784,"2,558",13,3,1/160,2.69
2026-02-23,月,いいえ,-206,"4,242",17,10,1/157,2.90,-158,"5,929",22,19,1/145,3.61,-158,"4,224",16,9,1/169,2.63,-852,"2,971",8,7,1/198,2.70
2026-02-22,日,いいえ,-666,"5,651",18,20,1/149,3.71,"-1,038","2,223",5,4,1/247,2.53,+781,"5,410",24,15,1/139,3.49,"-1,092","4,369",14,6,1/218,1.95
2026-02-21,土,いいえ,"-1,605","2,886",7,5,1/241,2.33,-547,"6,466",23,21,1/147,3.59,"-1,179","1,765",4,1,1/353,2.28,-304,"3,084",13,6,1/162,2.82
2026-02-20,金,はい,+426,"3,806",19,5,1/159,2.45,-296,"1,866",7,2,1/207,2.61,"-1,247","2,542",5,5,1/254,2.46,-30,"3,043",12,5,1/179,2.56
2026-02-19,木,いいえ,+601,"4,016",17,17,1/118,4.59,+901,"5,393",23,18,1/132,4.05,-564,626,0,1,1/626,3.00,"+1,063","2,292",14,4,1/127,3.35
2026-02-18,水,いいえ,-937,"2,819",7,7,1/201,2.76,-96,"4,160",14,15,1/143,3.80,+263,"3,606",13,13,1/139,3.85,-484,"4,146",14,15,1/143,3.81
2026-02-17,火,いいえ,-522,"3,452",13,6,1/182,2.48,-456,"1,876",7,2,1/208,2.60,-365,"3,057",9,11,1/153,3.59,-438,"1,832",6,3,1/204,2.77
2026-02-16,月,いいえ,-303,"2,182",8,4,1/182,2.83,-332,"3,560",12,11,1/155,3.35,+42,"1,743",8,3,1/158,3.07,-714,"4,305",13,15,1/154,3.55
2026-02-15,日,いいえ,"+1,892","5,894",33,6,1/151,2.01,"-1,156","2,305",6,3,1/256,2.35,-983,"2,997",9,5,1/214,2.38,"+1,343","4,578",25,9,1/135,3.11
2026-02-14,土,いいえ,-725,"4,121",14,11,1/165,2.97,-206,"1,924",6,6,1/160,3.37,+186,"7,071",27,20,1/150,3.16,+0,"3,265",11,10,1/155,3.34
2026-02-13,金,いいえ,+231,"4,407",16,15,1/142,3.74,"+1,916","5,648",28,16,1/128,3.89,"-1,194","1,244",1,3,1/311,2.90,+536,"2,023",10,5,1/135,3.46
2026-02-12,木,いいえ,-802,"2,816",7,9,1/176,3.19,-339,"1,219",4,1,1/244,2.76,-328,"1,287",4,3,1/184,3.16,+608,"3,156",15,8,1/137,3.42
2026-02-11,水,いいえ,"-1,160","4,038",12,7,1/213,2.16,+209,"3,483",16,7,1/151,2.92,+95,"5,077",19,14,1/154,3.12,-535,"2,298",8,3,1/209,2.50
2026-02-10,火,はい,-817,"2,192",4,6,1/219,2.89,"+1,342","3,865",19,14,1/117,4.41,-579,"1,249",3,0,1/416,2.44,"+2,547","5,443",30,17,1/116,4.52
2026-02-09,月,いいえ,"+1,101","5,592",25,22,1/119,4.73,-149,923,3,2,1/185,3.23,+346,"5,530",20,22,1/132,4.36,-684,"3,540",10,13,1/154,3.61
2026-02-08,日,いいえ,-913,"3,209",9,8,1/189,2.77,"+2,095","4,786",24,22,1/104,5.17,"-1,092","2,701",5,10,1/180,3.34,+0,"3,832",14,13,1/142,3.71
2026-02-07,土,いいえ,-34,"4,828",19,12,1/156,2.94,-709,650,0,0,-,2.75,"+2,245","4,772",27,18,1/106,4.97,-627,"3,356",11,9,1/168,3.02
2026-02-06,金,いいえ,-192,"3,601",12,13,1/144,3.75,-519,"1,299",3,3,1/217,3.04,-219,806,2,2,1/202,3.26,"+2,434","6,003",32,24,1/107,5.17
2026-02-05,木,いいえ,+278,"3,887",16,10,1/150,3.18,-65,"3,387",13,6,1/178,2.53,-74,"1,830",7,4,1/166,3.11,-604,"1,122",3,0,1/374,2.55
2026-02-04,水,いいえ,"-1,005","2,085",4,5,1/232,2.78,+238,"5,104",22,10,1/160,2.53,+590,"4,867",21,13,1/143,3.32,-838,"2,103",5,6,1/191,3.07
2026-02-02,月,いいえ,"+3,594","6,897",42,18,1/115,4.48,+610,"4,067",19,11,1/136,3.53,-468,620,1,1,1/310,3.12,-522,"1,973",5,7,1/164,3.45
2026-02-01,日,いいえ,-347,"7,617",25,30,1/138,4.29,-387,"2,705",9,6,1/180,2.83,+656,"6,839",27,25,1/132,4.33,+552,"6,783",25,26,1/133,4.36
2026-01-31,土,いいえ,+442,"4,269",18,12,1/142,3.43,-696,"1,767",4,3,1/252,2.66,+714,"5,019",23,11,1/148,2.90,"-1,772","2,980",6,4,1/298,2.07
2026-01-30,金,はい,+626,"6,098",25,18,1/142,3.52,"+1,261","4,772",24,9,1/145,2.80,-238,"2,300",8,7,1/153,3.40,-438,"3,710",12,12,1/155,3.42
2026-01-29,木,いいえ,-950,"4,531",14,13,1/168,2.99,+25,"2,218",9,6,1/148,3.36,"+2,427","5,073",30,14,1/115,4.31,-250,"1,345",5,2,1/192,2.96
2026-01-28,水,いいえ,-605,"3,732",14,5,1/196,2.17,-820,"1,660",4,3,1/237,2.76,-950,"2,056",3,6,1/228,2.93,-148,"5,491",21,17,1/145,3.54
2026-01-27,火,いいえ,+55,"3,304",13,10,1/144,3.51,+457,"3,236",13,10,1/141,3.59,-466,"1,651",5,5,1/165,3.34,-203,"2,410",8,8,1/151,3.51
2026-01-26,月,いいえ,-91,"3,051",11,9,1/153,3.35,+378,"3,435",17,6,1/149,2.84,"+2,332","6,286",25,42,1/94,5.68,-33,"5,890",22,18,1/147,3.44
2026-01-25,日,いいえ,+878,"4,260",22,7,1/147,2.69,+312,"5,560",21,22,1/129,4.42,"-1,058","4,262",11,13,1/178,2.99,"-1,069","5,044",15,14,1/174,2.81
2026-01-24,土,いいえ,+545,"5,252",23,12,1/150,2.88,-552,"3,082",10,8,1/171,2.98,"-1,314","3,844",10,9,1/202,2.50,-528,"4,024",15,10,1/161,2.94
2026-01-23,金,いいえ,-278,"2,522",10,5,1/168,2.89,+901,"5,417",23,18,1/132,4.03,-72,"3,482",14,6,1/174,2.53,-146,917,4,1,1/183,3.10
2026-01-22,木,いいえ,-569,"3,786",13,11,1/158,3.21,-363,"2,356",8,7,1/157,3.34,"+1,118","2,234",9,16,1/89,5.12,+206,"3,143",13,8,1/150,3.22
