日付,曜日,特定日,837番台,,,,,,,,838番台,,,,,,,,850番台,,,,,,,,851番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-02-27,金,いいえ,-343,"2,010",7,5,1/168,1/6.48,50,48.0,-279,"6,041",18,21,1/155,1/5.77,50,48.0,+265,"3,786",16,10,1/146,1/6.24,2,-,+260,"4,545",20,9,1/157,1/6.19,2,-
2026-02-26,木,いいえ,"-1,049","6,006",18,17,1/172,1/6.08,19,17.0,-602,"4,168",15,9,1/174,1/6.32,30,11.0,+390,"3,266",15,7,1/148,1/6.19,2,1.0,"+1,103","5,525",25,14,1/142,1/5.92,1,-
2026-02-25,水,いいえ,-407,"3,928",14,10,1/164,1/6.26,6,5.0,-328,"2,029",8,1,1/225,1/6.03,27,21.0,"+1,655","7,721",34,26,1/129,1/6.21,1,1.0,"+2,194","5,213",26,20,1/113,1/6.11,0,-
2026-02-24,火,いいえ,+169,"6,801",28,17,1/151,1/6.26,2,-,"-1,320","2,056",4,4,1/257,1/6.75,22,16.0,"+1,011","4,867",23,17,1/122,1/6.71,4,2.0,-789,"3,641",11,11,1/166,1/6.41,6,2.0
2026-02-23,月,いいえ,-583,"4,884",15,16,1/158,1/6.11,12,7.0,+975,"7,066",32,18,1/141,1/6.22,19,7.0,+430,"3,902",18,6,1/163,1/5.99,5,1.0,+490,"4,183",16,16,1/131,1/6.22,4,-
2026-02-22,日,はい,-632,"3,419",11,8,1/180,1/6.16,6,-,+434,"6,909",26,24,1/138,1/6.25,39,30.0,+344,"2,984",11,11,1/136,1/6.01,9,3.0,"+2,664","6,812",38,20,1/117,1/6.53,6,-
2026-02-21,土,はい,+81,"4,094",16,13,1/141,1/6.36,5,-,"-1,121","3,286",7,11,1/183,1/6.12,51,30.0,"+2,151","7,484",35,22,1/131,1/5.87,21,16.0,+485,"5,377",23,15,1/142,1/6.27,21,16.0
2026-02-20,金,はい,"+1,644","4,885",24,18,1/116,1/6.36,9,-,+266,"8,672",30,32,1/140,1/6.15,42,6.0,-946,"2,232",4,6,1/223,1/5.84,50,8.0,-25,"5,941",23,16,1/152,1/6.21,36,27.0
2026-02-19,木,いいえ,"+1,746","8,346",35,31,1/126,1/6.15,9,-,-593,"2,175",7,4,1/198,1/6.35,52,22.0,-828,"2,677",6,8,1/191,1/5.94,30,6.0,"+1,773","8,608",35,34,1/125,1/6.13,24,15.0
2026-02-18,水,いいえ,+159,"6,778",22,31,1/128,1/6.35,34,6.0,-461,"4,246",15,11,1/163,1/6.27,28,7.0,-104,"4,326",12,24,1/120,1/6.50,21,-,-723,"6,390",17,29,1/139,1/6.31,74,40.0
2026-02-17,火,いいえ,-311,"4,291",15,12,1/159,1/6.15,66,24.0,-917,"1,850",4,5,1/206,1/6.63,24,-,"+1,061","5,175",27,9,1/144,1/6.32,26,2.0,-190,"4,032",12,14,1/155,1/5.77,42,16.0
